Problem:    lb_2
Rows:       2960
Columns:    8374 (8372 integer, 8372 binary)
Non-zeros:  33537
Status:     INTEGER OPTIMAL
Objective:  IND = 1016 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 IND                      1016                             
     2 CI1                         0            -0               
   483 SpecCont[0,6,0]
                                   0            -0             = 
   484 SpecCont[0,6,1]
                                   0            -0             = 
   485 SpecCont[0,6,2]
                                   0            -0             = 
   486 SpecCont[0,6,3]
                                   0            -0             = 
   487 SpecCont[0,6,4]
                                   0            -0             = 
   488 SpecCont[0,6,5]
                                   0            -0             = 
   489 SpecCont[0,6,6]
                                   0            -0             = 
   490 SpecCont[0,6,7]
                                   0            -0             = 
   491 SpecCont[0,6,8]
                                   0            -0             = 
   492 SpecCont[0,6,9]
                                   0            -0             = 
   493 SpecCont[0,6,10]
                                   0            -0             = 
   494 SpecCont[0,6,11]
                                   0            -0             = 
   495 SpecCont[0,6,12]
                                   0            -0             = 
   496 SpecCont[0,6,13]
                                   0            -0             = 
   497 SpecCont[0,7,0]
                                   0            -0             = 
   498 SpecCont[0,7,1]
                                   0            -0             = 
   499 SpecCont[0,7,2]
                                   0            -0             = 
   500 SpecCont[0,7,3]
                                   0            -0             = 
   501 SpecCont[0,7,4]
                                   0            -0             = 
   502 SpecCont[0,7,5]
                                   0            -0             = 
   503 SpecCont[0,7,6]
                                   0            -0             = 
   504 SpecCont[0,7,7]
                                   0            -0             = 
   505 SpecCont[0,7,8]
                                   0            -0             = 
   506 SpecCont[0,7,9]
                                   0            -0             = 
   507 SpecCont[0,7,10]
                                   0            -0             = 
   508 SpecCont[0,7,11]
                                   0            -0             = 
   509 SpecCont[0,7,12]
                                   0            -0             = 
   510 SpecCont[0,7,13]
                                   0            -0             = 
   511 SpecCont[0,8,0]
                                   0            -0             = 
   512 SpecCont[0,8,1]
                                   0            -0             = 
   513 SpecCont[0,8,2]
                                   0            -0             = 
   514 SpecCont[0,8,3]
                                   0            -0             = 
   515 SpecCont[0,8,4]
                                   0            -0             = 
   516 SpecCont[0,8,5]
                                   0            -0             = 
   517 SpecCont[0,8,6]
                                   0            -0             = 
   518 SpecCont[0,8,7]
                                   0            -0             = 
   519 SpecCont[0,8,8]
                                   0            -0             = 
   520 SpecCont[0,8,9]
                                   0            -0             = 
   521 SpecCont[0,8,10]
                                   0            -0             = 
   522 SpecCont[0,8,11]
                                   0            -0             = 
   523 SpecCont[0,8,12]
                                   0            -0             = 
   524 SpecCont[0,8,13]
                                   0            -0             = 
   525 SpecCont[0,9,0]
                                   0            -0             = 
   526 SpecCont[0,9,1]
                                   0            -0             = 
   527 SpecCont[0,9,2]
                                   0            -0             = 
   528 SpecCont[0,9,3]
                                   0            -0             = 
   529 SpecCont[0,9,4]
                                   0            -0             = 
   530 SpecCont[0,9,5]
                                   0            -0             = 
   531 SpecCont[0,9,6]
                                   0            -0             = 
   532 SpecCont[0,9,7]
                                   0            -0             = 
   533 SpecCont[0,9,8]
                                   0            -0             = 
   534 SpecCont[0,9,9]
                                   0            -0             = 
   535 SpecCont[0,9,10]
                                   0            -0             = 
   536 SpecCont[0,9,11]
                                   0            -0             = 
   537 SpecCont[0,9,12]
                                   0            -0             = 
   538 SpecCont[0,9,13]
                                   0            -0             = 
   539 SpecCont[0,10,0]
                                   0            -0             = 
   540 SpecCont[0,10,1]
                                   0            -0             = 
   541 SpecCont[0,10,2]
                                   0            -0             = 
   542 SpecCont[0,10,3]
                                   0            -0             = 
   543 SpecCont[0,10,4]
                                   0            -0             = 
   544 SpecCont[0,10,5]
                                   0            -0             = 
   545 SpecCont[0,10,6]
                                   0            -0             = 
   546 SpecCont[0,10,7]
                                   0            -0             = 
   547 SpecCont[0,10,8]
                                   0            -0             = 
   548 SpecCont[0,10,9]
                                   0            -0             = 
   549 SpecCont[0,10,10]
                                   0            -0             = 
   550 SpecCont[0,10,11]
                                   0            -0             = 
   551 SpecCont[0,10,12]
                                   0            -0             = 
   552 SpecCont[0,10,13]
                                   0            -0             = 
   553 SpecCont[0,11,0]
                                   0            -0             = 
   554 SpecCont[0,11,1]
                                   0            -0             = 
   555 SpecCont[0,11,2]
                                   0            -0             = 
   556 SpecCont[0,11,3]
                                   0            -0             = 
   557 SpecCont[0,11,4]
                                   0            -0             = 
   558 SpecCont[0,11,5]
                                   0            -0             = 
   559 SpecCont[0,11,6]
                                   0            -0             = 
   560 SpecCont[0,11,7]
                                   0            -0             = 
   561 SpecCont[0,11,8]
                                   0            -0             = 
   562 SpecCont[0,11,9]
                                   0            -0             = 
   563 SpecCont[0,11,10]
                                   0            -0             = 
   564 SpecCont[0,11,11]
                                   0            -0             = 
   565 SpecCont[0,11,12]
                                   0            -0             = 
   566 SpecCont[0,11,13]
                                   0            -0             = 
   567 SpecCont[0,12,0]
                                   0            -0             = 
   568 SpecCont[0,12,1]
                                   0            -0             = 
   569 SpecCont[0,12,2]
                                   0            -0             = 
   570 SpecCont[0,12,3]
                                   0            -0             = 
   571 SpecCont[0,12,4]
                                   0            -0             = 
   572 SpecCont[0,12,5]
                                   0            -0             = 
   573 SpecCont[0,12,6]
                                   0            -0             = 
   574 SpecCont[0,12,7]
                                   0            -0             = 
   575 SpecCont[0,12,8]
                                   0            -0             = 
   576 SpecCont[0,12,9]
                                   0            -0             = 
   577 SpecCont[0,12,10]
                                   0            -0             = 
   578 SpecCont[0,12,11]
                                   0            -0             = 
   579 SpecCont[0,12,12]
                                   0            -0             = 
   580 SpecCont[0,12,13]
                                   0            -0             = 
   581 SpecCont[0,13,0]
                                   0            -0             = 
   582 SpecCont[0,13,1]
                                   0            -0             = 
   583 SpecCont[0,13,2]
                                   0            -0             = 
   584 SpecCont[0,13,3]
                                   0            -0             = 
   585 SpecCont[0,13,4]
                                   0            -0             = 
   586 SpecCont[0,13,5]
                                   0            -0             = 
   587 SpecCont[0,13,6]
                                   0            -0             = 
   588 SpecCont[0,13,7]
                                   0            -0             = 
   589 SpecCont[0,13,8]
                                   0            -0             = 
   590 SpecCont[0,13,9]
                                   0            -0             = 
   591 SpecCont[0,13,10]
                                   0            -0             = 
   592 SpecCont[0,13,11]
                                   0            -0             = 
   593 SpecCont[0,13,12]
                                   0            -0             = 
   594 SpecCont[0,13,13]
                                   0            -0             = 
   595 SpecCont[1,0,0]
                                   0            -0             = 
   596 SpecCont[1,0,1]
                                   0            -0             = 
   597 SpecCont[1,0,2]
                                   0            -0             = 
   598 SpecCont[1,0,3]
                                   0            -0             = 
   599 SpecCont[1,0,4]
                                   0            -0             = 
   600 SpecCont[1,0,5]
                                   0            -0             = 
   601 SpecCont[1,0,6]
                                   0            -0             = 
   602 SpecCont[1,0,7]
                                   0            -0             = 
   603 SpecCont[1,0,8]
                                   0            -0             = 
   604 SpecCont[1,0,9]
                                   0            -0             = 
   605 SpecCont[1,0,10]
